[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] session_id: silent_feather_af76
[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] [1]: reward=1.0, ep_return=1.0, root_visits=40, root_mean=20.200, best_q=20.324
[2026-01-08 15:22:13] [2]: reward=1.0, ep_return=2.0, root_visits=40, root_mean=19.700, best_q=19.949
[2026-01-08 15:22:13] [3]: reward=1.0, ep_return=3.0, root_visits=40, root_mean=17.200, best_q=17.385
[2026-01-08 15:22:13] [4]: reward=1.0, ep_return=4.0, root_visits=40, root_mean=20.725, best_q=20.895
[2026-01-08 15:22:13] [5]: reward=1.0, ep_return=5.0, root_visits=40, root_mean=16.525, best_q=16.641
[2026-01-08 15:22:13] [6]: reward=1.0, ep_return=6.0, root_visits=40, root_mean=16.975, best_q=17.154
[2026-01-08 15:22:13] [7]: reward=1.0, ep_return=7.0, root_visits=40, root_mean=17.650, best_q=18.000
[2026-01-08 15:22:13] [8]: reward=1.0, ep_return=8.0, root_visits=40, root_mean=16.825, best_q=17.171
[2026-01-08 15:22:13] [9]: reward=1.0, ep_return=9.0, root_visits=40, root_mean=18.525, best_q=18.744
[2026-01-08 15:22:13] [10]: reward=1.0, ep_return=10.0, root_visits=40, root_mean=15.875, best_q=16.026
[2026-01-08 15:22:13] [11]: reward=1.0, ep_return=11.0, root_visits=40, root_mean=18.050, best_q=18.297
[2026-01-08 15:22:13] [12]: reward=1.0, ep_return=12.0, root_visits=40, root_mean=17.775, best_q=18.026
[2026-01-08 15:22:13] [13]: reward=1.0, ep_return=13.0, root_visits=40, root_mean=17.900, best_q=18.103
[2026-01-08 15:22:13] [14]: reward=1.0, ep_return=14.0, root_visits=40, root_mean=19.775, best_q=20.079
[2026-01-08 15:22:13] [15]: reward=1.0, ep_return=15.0, root_visits=40, root_mean=14.950, best_q=15.077
[2026-01-08 15:22:13] [16]: reward=1.0, ep_return=16.0, root_visits=40, root_mean=19.675, best_q=19.846
[2026-01-08 15:22:13] [17]: reward=1.0, ep_return=17.0, root_visits=40, root_mean=19.125, best_q=19.385
[2026-01-08 15:22:13] [18]: reward=1.0, ep_return=18.0, root_visits=40, root_mean=18.050, best_q=18.179
[2026-01-08 15:22:13] [19]: reward=1.0, ep_return=19.0, root_visits=40, root_mean=18.325, best_q=18.474
[2026-01-08 15:22:13] [20]: reward=1.0, ep_return=20.0, root_visits=40, root_mean=16.975, best_q=17.184
