[2026-01-07 14:04:03] project: galaxian
[2026-01-07 14:04:03] logger/dir: logger
[2026-01-07 14:04:03] env/max_episode_steps: 400
[2026-01-07 14:04:03] train/lr: 1e-3
[2026-01-07 14:04:03] sampling/percentile: 80
[2026-01-07 14:04:03] sampling/batch_size: 300
[2026-01-07 14:04:03] sampling/epochs: 50
[2026-01-07 14:04:03] export/tensorboard: runs
[2026-01-07 14:04:03] export/video_folder: video
[2026-01-07 14:04:03] export/model: galaxian.pth
[2026-01-07 14:04:03] session_id: quiet_hill_4398
[2026-01-07 14:08:27] [1]: loss=1.791704, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:27] [1]: loss=1.851029, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:27] [1]: loss=1.792793, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:27] [1]: loss=1.792265, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791658, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791588, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791702, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791512, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791628, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:28] [1]: loss=1.791446, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.791426, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.791315, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.791276, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.791172, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.791077, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:29] [1]: loss=1.790959, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:30] [1]: loss=1.790940, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:30] [1]: loss=1.791026, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:30] [1]: loss=1.790945, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:08:30] [1]: loss=1.790809, reward_mean=488.4, rw_bound=600.0
[2026-01-07 14:13:06] [2]: loss=1.791280, reward_mean=496.6, rw_bound=610.0
[2026-01-07 14:13:06] [2]: loss=1.791160, reward_mean=496.6, rw_bound=610.0
[2026-01-07 14:13:06] [2]: loss=1.791163, reward_mean=496.6, rw_bound=610.0
