[2026-01-06 22:21:14] project: galaxian
[2026-01-06 22:21:14] logger/dir: logger
[2026-01-06 22:21:14] env/max_episode_steps: 200
[2026-01-06 22:21:14] train/lr: 1e-3
[2026-01-06 22:21:14] sampling/percentile: 80
[2026-01-06 22:21:14] sampling/batch_size: 300
[2026-01-06 22:21:14] sampling/epochs: 50
[2026-01-06 22:21:14] export/tensorboard: runs
[2026-01-06 22:21:14] export/video_folder: video
[2026-01-06 22:21:14] export/model: galaxian.pth
[2026-01-06 22:21:14] session_id: broken_moon_c93b
[2026-01-06 22:23:50] [1]: loss=1.791561, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.819232, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.792049, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791849, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791634, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791528, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791520, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791451, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791397, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791317, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791204, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:50] [1]: loss=1.791057, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790935, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790871, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790766, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790600, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790482, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790285, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.790119, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:23:51] [1]: loss=1.789911, reward_mean=240.9, rw_bound=310.0
[2026-01-06 22:26:33] [2]: loss=1.790771, reward_mean=239.4, rw_bound=310.0
[2026-01-06 22:26:33] [2]: loss=1.790845, reward_mean=239.4, rw_bound=310.0
[2026-01-06 22:26:33] [2]: loss=1.790888, reward_mean=239.4, rw_bound=310.0
[2026-01-06 22:26:33] [2]: loss=1.790464, reward_mean=239.4, rw_bound=310.0
[2026-01-06 22:26:33] [2]: loss=1.790142, reward_mean=239.4, rw_bound=310.0
